code,name,edinet_code,industry,roe,operating_margin,equity_ratio,market_cap
5032,ＡＮＹＣＯＬＯＲ株式会社,E37573,サービス業,55.23,37.97,75.38,226025.28
3092,株式会社ＺＯＺＯ,E05725,小売業,49.43,30.38,52.56,1280405.43
8136,株式会社サンリオ,E02655,卸売業,48.38,35.75,53.16,1754787.34
6920,レーザーテック株式会社,E01991,電気機器,46.87,48.85,63.68,1831911.87
3923,株式会社ラクス,E31878,情報・通信業,45.31,20.84,69.43,362437.18
6532,株式会社ベイカレント,E32549,サービス業,36.5,36.72,75.72,989666.08
2371,株式会社カカクコム,E05350,サービス業,35.4,37.35,66.11,423803.21
6857,株式会社アドバンテスト,E01950,電気機器,34.38,29.26,59.3,4958950.41
4716,日本オラクル株式会社,E05027,情報・通信業,34.17,32.95,51.73,2167474.8
2222,寿スピリッツ株式会社,E00387,食料品,32.19,24.34,77.12,378203.22
4980,デクセリアルズ株式会社,E31633,化学,30.64,36.0,63.18,320172.76
8035,東京エレクトロン株式会社,E02652,電気機器,30.1,28.68,70.65,9485771.82
6544,ジャパンエレベーターサービスホールディングス株式会社,E33034,サービス業,29.81,17.47,57.38,243920.32
3064,株式会社ＭｏｎｏｔａＲＯ,E03497,小売業,28.55,13.83,63.62,1253322.78
6146,株式会社ディスコ,E01506,機械,27.55,42.42,75.33,3235495.24
4194,ビジョナル株式会社,E36484,情報・通信業,26.55,26.75,71.02,476116.7
9744,株式会社メイテックグループホールディングス,E04804,サービス業,26.41,14.15,52.11,227426.68
7735,株式会社ＳＣＲＥＥＮホールディングス,E02288,電気機器,25.1,21.7,62.67,977422.85
4519,中外製薬株式会社,E00932,医薬品,24.35,47.6,73.67,13842486.88
3697,株式会社ＳＨＩＦＴ,E30969,情報・通信業,23.65,12.04,53.29,409250.26
8111,株式会社ゴールドウイン,E00603,繊維製品,23.13,16.56,73.7,391169.7
9697,株式会社カプコン,E02417,情報・通信業,23.0,38.78,72.31,1951279.55
5803,株式会社フジクラ,E01334,非鉄金属,22.73,13.84,52.43,1596901.75
6098,株式会社リクルートホールディングス,E07801,サービス業,22.58,13.79,58.35,11971134.45
6368,オルガノ株式会社,E01571,機械,21.63,19.06,62.34,294707.55
6871,株式会社日本マイクロニクス,E02030,電気機器,20.85,23.57,66.7,281801.36
6323,ローツェ株式会社,E02328,機械,20.71,25.74,68.56,288550.89
5706,三井金属株式会社,E00024,非鉄金属,20.63,10.49,51.81,249199.36
3635,株式会社コーエーテクモホールディングス,E22460,情報・通信業,20.62,38.63,90.27,661103.12
6814,古野電気株式会社,E01839,電気機器,20.61,11.55,63.5,253336.85
9983,株式会社ファーストリテイリング,E03217,小売業,20.19,16.59,58.9,14821943.5
6417,株式会社三共,E02419,機械,20.12,38.37,84.64,562687.84
5929,三和ホールディングス株式会社,E01385,金属製品,18.87,12.16,60.64,1062144.54
6525,株式会社ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,E37488,電気機器,18.77,21.48,57.44,576854.6
4732,株式会社ユー・エス・エス,E05045,サービス業,18.52,52.11,77.56,715137.71
4021,日産化学株式会社,E00759,化学,18.43,22.61,71.4,607669.27
6383,株式会社ダイフク,E01551,機械,18.38,15.26,59.87,1871593.71
9759,株式会社ＮＳＤ,E04822,情報・通信業,17.83,15.63,75.43,287591.71
6845,アズビル株式会社,E01879,電気機器,17.6,13.81,76.34,623374.03
7832,株式会社バンダイナムコホールディングス,E02481,その他製品,17.32,14.52,71.94,3254136.6
4107,伊勢化学工業株式会社,E01028,化学,17.18,24.16,78.55,240847.36
4812,株式会社電通総研,E05147,情報・通信業,17.1,13.88,60.68,535386.95
7988,株式会社ニフコ,E02386,化学,17.03,13.94,73.38,361247.22
6432,株式会社竹内製作所,E01723,機械,16.6,17.42,76.7,251746.33
4816,東映アニメーション株式会社,E02458,情報・通信業,16.58,32.16,80.22,651116.93
9766,コナミグループ株式会社,E01956,情報・通信業,16.43,24.18,72.45,2523075.83
7906,ヨネックス株式会社,E02427,その他製品,16.25,10.25,63.37,221536.24
5344,株式会社ＭＡＲＵＷＡ,E01210,ガラス・土石製品,16.23,37.46,89.86,374294.2
9336,大栄環境株式会社,E38148,サービス業,15.73,26.88,51.21,284952.89
7733,オリンパス株式会社,E02272,精密機器,15.62,16.29,52.47,2218475.58
4684,株式会社オービック,E05025,情報・通信業,15.52,64.65,86.7,2143476.66
5393,ニチアス株式会社,E01151,ガラス・土石製品,15.37,15.49,74.88,313208.6
7729,株式会社東京精密,E02289,精密機器,15.32,19.73,74.06,336859.22
